,x,y
0,0.0,-0.09268353856249245
1,0.07142857142857142,0.34073778840350677
2,0.14285714285714285,0.8302239367812365
3,0.21428571428571427,0.592271863250264
4,0.2857142857142857,0.6299443456792171
5,0.3571428571428571,0.6693739766198356
6,0.42857142857142855,0.23131751505067347
7,0.5,0.0628494665190549
8,0.5714285714285714,-0.6154885542218003
9,0.6428571428571428,-1.064292222735088
10,0.7142857142857142,-0.6817981583975126
11,0.7857142857142857,-1.0200831722791308
12,0.8571428571428571,-0.7683258415304451
13,0.9285714285714285,-0.7188333763602505
14,1.0,-0.10887654490503679
